name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.16287016868591309,0.003121581,0.0010528018,0.27444333,0.066127375,0.00025880037,0.0032836488,0.16287017,0.4886069,0.00023539388,0
ISIC_0027859,0.4967063069343567,0.19835055,0.0027270385,0.24531162,0.0022000864,0.002005204,0.0018639676,0.4967063,0.048475392,0.002359802,0
ISIC_0030591,0.08787589520215988,0.7682054,0.0017157848,0.06304829,0.0054577156,0.0002116949,0.00027188126,0.087875895,0.07301638,0.00019688647,0
ISIC_0031366,0.4633583128452301,0.005740039,0.00044105752,0.034910135,0.0024240455,0.00034435268,0.00057680067,0.4633583,0.49195376,0.0002515083,0
ISIC_0025396,0.26091432571411133,0.0060194284,0.0010630128,0.031032376,0.0025676496,0.0024318658,0.004301454,0.26091433,0.6893951,0.0022747302,0
ISIC_0031922,0.009971330873668194,0.18969035,0.034361284,0.67196137,0.08420506,0.0001872351,0.00058311573,0.009971331,0.008886647,0.00015363815,0
ISIC_0031377,0.10298363119363785,0.00048858905,0.0006132489,0.057252128,0.0025460375,0.00025137162,0.0019393353,0.10298363,0.8336873,0.00023844626,1
ISIC_0026103,0.972176194190979,0.0013474885,3.438348e-05,0.0027605442,0.00045647527,7.915832e-05,0.00014694796,0.9721762,0.022942984,5.584803e-05,0
ISIC_0027190,0.4421190023422241,0.003655417,0.0025275205,0.07448738,0.0037708809,0.0031985638,0.0045986082,0.442119,0.4623019,0.0033407484,1
ISIC_0032126,0.3399833142757416,0.022540094,0.0027892855,0.24423587,0.003921364,0.0009967171,0.0013747152,0.3399833,0.38307273,0.0010858425,0
ISIC_0031394,0.11785966157913208,0.023044642,0.0067720823,0.8082962,0.017773522,0.0008086635,0.00090093724,0.11785966,0.02392288,0.0006213596,0
ISIC_0028878,0.09971540421247482,0.0033623457,0.0017884937,0.67577386,0.0077459966,0.0012624818,0.0017801023,0.099715404,0.20760703,0.0009642579,1
ISIC_0031306,0.02472839318215847,0.00017521551,0.00013174157,0.0005806241,0.0017833601,0.00024144145,0.0004150569,0.024728393,0.9717478,0.0001962856,0
ISIC_0030817,0.6194587349891663,0.0004948789,0.00021524326,0.1560987,0.0025271785,0.00046068578,0.003638755,0.61945873,0.21668713,0.0004186642,0
ISIC_0025651,0.15587955713272095,0.372836,0.18861121,0.167732,0.07393087,0.0013140178,0.0061417585,0.15587956,0.032322288,0.0012323513,1
ISIC_0031698,0.00017978892719838768,0.001093523,0.9930443,0.00044484495,0.0033217915,6.716827e-05,0.0002093793,0.00017978893,0.0015603078,7.892392e-05,0
ISIC_0028964,0.024178611114621162,0.5772719,0.19585931,0.09259877,0.011865199,0.0017223691,0.0026005842,0.024178611,0.09205304,0.0018502107,0
ISIC_0032186,0.8564321994781494,0.0037135559,0.0010691761,0.077285945,0.0015041546,0.0005632276,0.0013945188,0.8564322,0.057444796,0.0005925259,0
ISIC_0025703,0.26735424995422363,0.056288846,0.008152034,0.65134585,0.0031809374,0.0004463563,0.0010471441,0.26735425,0.011728691,0.00045588645,0
ISIC_0028354,0.08234263211488724,0.026510496,0.005282758,0.8609932,0.0019240486,0.000683349,0.0019886089,0.08234263,0.019491186,0.00078366644,0
ISIC_0032372,0.10179602354764938,0.0075804116,0.0637076,0.7098027,0.0030435908,0.00080761395,0.043824144,0.10179602,0.06851518,0.0009227416,1
ISIC_0027486,0.1518237590789795,0.0013352149,0.00019840468,0.015711728,0.001545397,0.0003865481,0.0009543402,0.15182376,0.8276477,0.0003969514,0
ISIC_0028548,0.891951322555542,0.0022682212,0.0013619913,0.05177074,0.00061330915,0.00028448316,0.00080035155,0.8919513,0.050624374,0.00032523798,1
ISIC_0031915,0.15333351492881775,0.006572795,0.01710965,0.11070938,0.005462289,0.00051791227,0.0018946324,0.15333351,0.70388997,0.00050986867,1
ISIC_0031519,0.2911350429058075,0.1886109,0.031671554,0.16834033,0.21915019,0.0015362038,0.008183091,0.29113504,0.09007635,0.0012963382,0
ISIC_0031311,0.09164953231811523,0.001021451,0.0003192243,0.0023362928,0.003993105,0.000908009,0.002377608,0.09164953,0.8965493,0.0008454814,0
ISIC_0031007,0.0007283873273991048,0.104901955,0.81256795,0.07822548,0.0021331778,0.00026135848,0.00041812452,0.0007283873,0.00046585136,0.00029773024,0
ISIC_0031353,0.5579454302787781,0.042772766,0.051259402,0.110610604,0.0127581535,0.00092030293,0.0014546775,0.55794543,0.2215041,0.0007745547,0
ISIC_0029080,0.07478965818881989,0.0043425565,0.0054289843,0.6965863,0.005285368,0.0010745272,0.0037097079,0.07478966,0.2077061,0.0010767286,0
ISIC_0026260,0.07997631281614304,0.0013648821,0.0002761769,0.0022291155,0.0009762269,0.0003713422,0.0010747779,0.07997631,0.9133254,0.0004056391,0
ISIC_0030877,0.004284203052520752,0.8234322,0.08728513,0.07582685,0.0036048281,0.00079474977,0.0017458634,0.004284203,0.0023500423,0.00067617407,0
ISIC_0030942,0.3625170588493347,0.003478329,0.0025277801,0.054645162,0.0069067176,0.0005440183,0.002450222,0.36251706,0.56645656,0.0004741846,0
ISIC_0026923,0.001538407290354371,0.8851672,0.020306064,0.09012564,0.0018517198,0.00014573871,0.00020837825,0.0015384073,0.0005065591,0.00015032866,0
ISIC_0027219,0.08310915529727936,0.078588486,0.013769815,0.6780377,0.011974391,0.000587388,0.0013320306,0.083109155,0.1320433,0.00055767613,0
ISIC_0031314,0.20379941165447235,0.0076937964,0.00032624236,0.13519046,0.004936409,0.0009740754,0.0019570435,0.20379941,0.6441563,0.0009662918,0
ISIC_0027451,0.0812220647931099,0.0033274165,0.0020485322,0.8816063,0.00081557734,7.372606e-05,0.0002657465,0.081222065,0.030573249,6.735408e-05,0
ISIC_0028871,0.0007403233903460205,0.009786466,0.98427415,0.0012596833,0.0034104905,4.1771847e-05,0.00014047259,0.0007403234,0.000307025,3.970371e-05,0
ISIC_0031115,0.6709023714065552,0.037606,0.00037658832,0.09286383,0.0024084884,0.0008028389,0.0020087657,0.6709024,0.1922862,0.00074494944,0
ISIC_0030360,0.7423132061958313,0.0065727644,0.001330452,0.15019621,0.0022545578,0.0004577322,0.00064666424,0.7423132,0.09587845,0.00034995613,1
ISIC_0029645,0.29385408759117126,0.0011778334,0.00037960906,0.013118969,0.0025412112,0.00047603837,0.0020753301,0.2938541,0.6859883,0.0003886262,0
ISIC_0024592,0.005602163262665272,0.020583315,0.054845832,0.87440324,0.0051640314,0.00034432425,0.0011420501,0.0056021633,0.03757118,0.00034380535,0
ISIC_0032040,0.020642943680286407,0.002361783,0.002104458,0.94437754,0.0016616713,0.00012454977,0.0007924862,0.020642944,0.027777573,0.00015701322,0
ISIC_0024910,0.008592367172241211,0.0069565447,0.00022799656,0.9720113,0.0011510521,0.00022026068,0.0011273918,0.008592367,0.009509356,0.00020374436,0
ISIC_0030932,0.42617958784103394,0.003901838,0.0009950751,0.31640345,0.0047687637,0.00036289965,0.0012236716,0.4261796,0.245847,0.00031771278,1
